Name,Date,Tags,Sector,Countries
www.neurologicalinstitute.com,22/7/2024,"IT & Security Documents, Business Licenses, Credentials, Billing Documents, Incident Reports, Lawsuits, Patients' Records, Personal Identifications",Healthcare,United States
oficina.oficinadasfinancas.com.br,24/7/2024,"Customers Documents, Employees Documents, Partners Documents, Webmails, Source Code",Financial Services,Brazil
bpjaguar.com,23/7/2024,"Personal Identifications, Legal Documents",Automotive,Mexico
ach.co.th,23/7/2024,"Private Documents, Databases, Webmails, Source Code",Insurance,Thailand
baytoti.com,25/7/2024,Financial Documents,Food,Saudi Arabia
cminsulation.com,25/7/2024,Not Yet Published,Service Provider,United States
panitchlaw.com,25/7/2024,Not Yet Published,Legal,United States
sigmacontrol.eu,23/7/2024,"Meeting Minutes, Marketing Materials, Internet Subscription",Industrial Automation,Netherlands
www.byzan.com,20/7/2024,Personal Identifications,Technology,India
www.garudafood.com,20/7/2024,Customer Details,F&B,Indonesian
www.kumagaigumi.co.jp,19/7/2024,"Clients Information, Personal Identifications,Contracts Information",Construction,Japan
www.glowfm.nl,16/7/2024,"Private Documents, Databases, Webmails, Source Code",Radio Broadcasting,Netherlands
www.newcastlewa.gov,16/7/2024,Personal Identifications,Government,United States
metalfrio.com.br,16/7/2024,"Products Technical Drawings, Financial Information, Suppliers Information, Clients Information, Contracts & NDA agreements",Distributor,Brazil
www.erma-rtmo.it,14/7/2024,"Email Exchanges, Personal Identifcations, Invoices, Financial Reports",Manufacturing,Italy
pgd.pl,18/7/2024,Not Yet Published,Automotive,Poland
hlbpr.com,16/7/2024,"Personal Identifications, Payment Information, Confidential Documents",Accounting,Puetro Rico
ceopag.com.br / ceofood.com.br,16/7/2024,"Private Documents, Databases, Webmails, Source Code",Financial Services,Brazil
www.benchinternational.com,16/7/2024,Customer Documents,Recruitment,United States
www.zepter.de,2/7/2024,"Product Technical Drawings, Invoices",Metalworking & Aviation Technology,Germany
www.riteaid.com,11/7/2024,"Personal Identifications, Customer rewards number",Healthcare,United States
www.eurostrand.de,11/7/2024,"Bank Documents, Finance Documents, Project Documents, HR Documents",Tourism,Germany
www.lynchaluminum.com,11/7/2024,"Project Documents, Schemes, Finance Documents, Bank Documents, Accounting Documents, Plan Documents",Manufacturing,United States
www.netavent.dk,11/7/2024,"Contract Documents, Personal Identifcations, Finance Documents, Project Documents",Manufacturing,Denmark
www.bfcsolutions.com,11/7/2024,Not Yet Published,Maintenance,United States
aedifica.com,19/6/2024,"Layout Documents, Legal Information, Non Disclosure Agreements",Architecture,Canada
baiminstitute.org,3/7/2024,Not Yet Published,Clinical Research,United States
www.swcs-inc.com,3/7/2024,"Construction Blueprints, Plan Documents",Construction,United States
www.daesangamerica.com,2/7/2024,"Purchase Contracts, Sales Contracts, Commercial Invoice, Confidentiality Agreements, ",F&B,United States
www.hauptmann.at,29/6/2024,"Personal Identifications, Bank Card Details",Carpentry,Austria
www.finecopneumatica.com,29/6/2024,Not Yet Published,Industrial Automation,Italy
www.sfmedical.de,1/7/2024,"Patient Records, Personal Identifications",Healthcare,Germany
www.nttdata.ro,1/7/2024,Not Yet Published,Consulting,Japan
floridahealth.gov,1/7/2024,Not Yet Published,Government,United States
Spandex.com,28/6/2024,Not Yet Published,Digital Media & Signs,Switzerland
midamea.com,27/6/2024,"Layout Documents, Legal Information, Non Disclosure Agreements",Architecture,South Korea
equinocioplay.com.br,24/6/2024,"Legal Documents, Personal Documents, Configuration files, Credentials, Itineraries",Streaming,Brazil
www.sicoob.com.br,1/6/2024,"Personal Identifications, Financial Documents, Non-Disclosure Agreements, Databases",Financial Services,Brazil
www.cipl.org.in,27/6/2024,Not Yet Published,Technology,India
daniellegroup.com,26/6/2024,Not Yet Published,Manufacturing,United Kingdom
coca-cola.com,23/6/2024,"Department documents, Databases",F&B,Myanmar
www.cloudeurope.it,27/6/2024,"Databases, Personal Identifications, ",Data Management,Italy
www.mangimifusco.it,26/6/2024,"Personal Identifications, Client Documents, Budget Documents, Payroll Documents, Contract Documents, Taxes, Finance Douments",Manufacturing,Italy
www.harrisranchbeef.com,24/6/2024,Not Yet Published,F&B,United States
bitzsoftwares.com.br,17/6/2024,"Databases, Credentials, Credit Card Details, Personal Identifications",Technology,Brazil
multi-wing.com,13/6/2024,"Banking Information, Insurance Documents, Credentials",Manufacturing,Netherlands
www.invisio.com,19/6/2024,"Tender Documents, Email Exchanges, Meeting Minutes, Military Documents, Purchase Documents, Sales Documents",Military,Denmark
www.liderit.es,17/6/2024,Confidentiality Agreement,Consulting,Spain
parlorenzo.com,16/6/2024,"Customer Information, Personal Identifications",Accounting,Spain
www.gbricambi.it,20/6/2024,"Sales Documents, Customer Information, Product Documents, Financial Documents, Confidential Agreements",Technology,Italy
smicusa.com,11/6/2024,Not Yet Published,Consulting,United States
www.novabitsrl.it,11/6/2024,Not Yet Published,Distributor,Italy
www.ugrocapital.com,5/6/2024,Not Yet Published,Technology,India
www.crezit.com,13/5/2024,"Personal Identification, Internal Documents, Customer Documents",Financial Services,Spain
www.clevo.com.tw,29/5/2024,"Customer Information, Partner Information, Non-Disclosure Agreements, Drawings, Product Developments Documents",Manufacturing,Taiwan
Frontier.com,1/6/2024,"Personal Identifications, Credit Scores, Clients Data",Telecommunications,United States
www.bjurholm.se,28/5/2024,Not Yet Published,Government,Sweden
www.psgbdvor.rs,28/5/2024,"IT Documents, Accounting Documents, Finance Documents, Project Documents, Client Database, Budget Documents, Taxes, Logistics & Supply Chain Documents, Production Data, HR Documents, Legal Documents, KPI, R&D Documents",Energy,Serbia
www.acslabtest.com,20/5/2024,"Personal Identifications, Patient Records, Drug Tests, Insurance Data",Healthcare,United States
www.throttleup.io,20/5/2024,Not Yet Published,Consulting,United States
www.brittanyhorne.com,20/5/2024,Not Yet Published,Consulting,United States
www.mataderodegijon.es,19/5/2024,Scada Access,Energy,Spain
www.houstonwastesolutions.com,17/5/2024,"Contract Documents, Client Information",Waste Management,Spain
www.eastshoresound.com,16/5/2024,Not Yet Published,Service Provider,United States
www.chuoss.co.jp,15/5/2024,Not Yet Published,Healthcare,Japan
www.oriux.com,15/5/2024,"Accounting Documents, HR Documents, Financial Reports, Clients Information, Contracts",Transportation,United States
www.neodesha.org,14/5/2024,Not Yet Published,Tourism,United States
www.rockymountainsales.com,14/5/2024,"Contract Information,Internal Documents, Agreement Documents, Invoices, Pricing Documents",Consulting,United States
www.eucatex.com.br,14/5/2024,"Application Source Codes, Financial Documents, Non-Disclosure Agreements, Contractors Information, Clients Information",Renovation,Brazil
okuant.com,13/5/2024,"Investment Documents,",Real Estate,Spain
iseta.fr,8/5/2024,Not Yet Published,Education,France
www.lalengineering.com,7/5/2024,Not Yet Published,Construction,Sri Lanka
www.portosaofrancisco.com.br,6/5/2024,"Accounting Documents, HR Documents, Financial Reports, Reception, Contracts, Operation Documents, Employee Details",Maritime,Brazil
www.kamojou.co.za,5/5/2024,Not Yet Published,Trading & Procurement,South Africa
www.thaayakam.co.uk,4/5/2024,Not Yet Published,Technology,United Kingdom
www.extraco.ae,2/5/2024,Not Yet Published,Manufacturing,United Arab Emirates
www.polaris.es,26/4/2024,Not Yet Published,Technology,Spain
www.jutebag.co.uk,25/4/2024,Not Yet Published,Retail,United Kingdom
www.precisiontimesystems.com,25/4/2024,"Payment Documents, Business License, Insurance Documents, Business Communications",Technology,United States
www.designintoto.com.au,25/4/2024,Not Yet Published,Design,Australia
www.europeanprof.es,24/4/2024,Credentials,Saftey and Risk Management,Spain
www.harmanrealtors.com,22/4/2024,Not Yet Published,Real Estate,United States
nepa.gov.af&dfr.gov.af,22/4/2024,Not Yet Published,Government,Afghanistan
www.fabricainfo.com,17/4/2024,"Personal Identifications, Business Documents, Customer Documents",Document Digitalization,Brazil
www.grupocuevas.es,16/4/2024,Not Yet Published,Service Provider,Spain
www.eebpsa.com.co,13/4/2024,"Accounting Documents, Internal Management Documents",Energy,Colombia
www.robesoncoso.org,12/4/2024,"Personal Identifications, Case Records, Licenses, Evidence Reports",Law Enforcement,United States
www.cyncsolutions.com,9/4/2024,"Backup Storage S3, Third-Pary Companies Data, Server Credentials",Technology,United States
"Baca County Feedyard, Inc",9/4/2024,Not Yet Published,Manufacturing,United States
www.skywaycoach.ca,8/4/2024,"Customer Data, Driver License, Bills, Payment Documents, Order Histories, Earnings",Transportation,Canada
www.farmaciaflorio.com,8/4/2024,"Invoice Documents, Delivery Addresses, Database, Orders Information",Healthcare,Italy
www.nrshealthcare.com,7/4/2024,"Accounting Documents, Financial Reports, HR Documents, Reception, Contracts",Healthcare,United Kingdom
www.hcisystems.net,6/4/2024,Invoices,Safety and Risk Management,United States
www.betteraccountingsolutions.com,6/4/2024,Not Yet Published,Accounting,United States
www.aretusamilano.it,4/4/2024,Not Yet Published,Service Provider,Italy
www.agenciahost.com,3/4/2024,Customer Data,Technology,Brazil
www.pgesco.com,22/3/2024,Not Yet Published,Energy,Egypt
www.industrialdealimentos.com,20/3/2024,"Databases, Finance Documents, IT Documents, HR Documents, IT Documents, Supplier's Recipes",Manufacturing,United States
www.lapastina.com,20/3/2024,Not Yet Published,F&B,Brazil
www.kovra.com.my,12/3/2024,"Personal Identifications, Customer Information, Payment Documents",Manufacturing,Malaysia
www.computan.com,11/3/2024,"Customer Information, Personal Identifications, Payment Documents",Saas,United States
www.scadea.com,10/3/2024,"MySQL Accounts, Personal Identifications, Private Records",Consulting,United States
www.go4kora.tv,9/3/2024,"Customer Information, Customer Documents",Sports,Tuvalu
www.rekamy.com,8/3/2024,"Customer Information, Payment Documents, Personal Identifications",Saas,Malaysia
www.dvttechnologyltd.com,8/3/2024,"Customer Information, Payment Documents, Personal Identifications",Retail,Ireland
www.siea.sk,7/3/2024,Not Yet Published,Government,Slovakia
www.spmundi.com.br,7/3/2024,"Customer Information, Documents, Operation Documents",Currency Exchange,Brazil
www.merchant.id,6/3/2024,Not Yet Published,Technology,Indonesian
www.shootinghouse.com.br,28/2/2024,Not Yet Published,Saas,Brazil
www.headwaterco.com,26/2/2024,"Invoices, Credentials, Payrolls, Taxes, Insurance Documents",Water Treatment,United States
www.ykp.com.br,7/2/2024,"Finance Documents, Marriage Certificates, Employee Payrolls, Real Estate Loans, Bank Statements, Accounting Documents, Employees Details",Consulting,Brazil
